post_id,theme,text,image_path
p001,nature,Warm sunset over coastal mountains with soft orange light.,images/sunset.jpg
p002,nature,Pine forest trail after rain with mist between tall trees.,images/forest.jpg
p003,art,Pastel abstract shapes arranged in a minimalist composition.,images/abstract.jpg
p004,tech,Review of the latest smartphone camera and night mode performance.,
p005,tech,Notebook of coding productivity tips and keyboard shortcuts.,
p006,art,,images/graffiti.jpg
p007,food,,images/bread.jpg
p008,food,"Fresh veggie bowl with salmon, avocado, and bright toppings.",images/bowl.jpg
p009,nature,Quiet beach morning with soft waves and pale blue sky.,images/beach.jpg
p010,nature,High-altitude lake reflecting snowy peaks and alpine sky.,images/alpine.jpg
p011,art,Geometric mural painted with bold cyan and magenta blocks.,images/mural.jpg
p012,tech,Mechanical keyboard build log with custom switches and keycaps.,
p013,food,Stack of pancakes with berries and maple syrup for brunch.,images/pancakes.jpg
p014,nature,Snowy ridge hike with bright alpine air and distant peaks.,images/p014.jpg
p015,tech,First impressions of a wireless mechanical keyboard build.,images/p015.jpg
p016,art,Color-block poster inspired by mid-century modern shapes.,images/p016.jpg
p017,food,Roasted veggies with herbs served on rustic sourdough.,images/p017.jpg
p018,nature,River delta winding through green wetlands at sunset.,images/p018.jpg
p019,nature,Hidden waterfall in a mossy canyon with cool mist.,images/p019.jpg
p020,nature,Wildflower meadow below snow-capped peaks during sunrise.,images/p020.jpg
p021,tech,Edge AI benchmarks on a Raspberry Pi with quantized models.,images/p021.jpg
p022,tech,Review of a compact laptop's battery life for coding on the go.,images/p022.jpg
p023,art,Monochrome ink illustration of a city skyline at dusk.,
p024,art,Neon mural wrapping a subway tunnel with bold geometric shapes.,
p025,food,Spicy ramen bowl with soft egg chili oil and scallions.,
p026,food,Chocolate lava cake with fresh berries and vanilla ice cream.,
p027,nature,,images/p027.jpg
p028,nature,,images/p028.jpg
p029,nature,Coastal cliffs with rolling fog and crashing waves.,images/p029.jpg
p030,nature,Pine forest trail lined with moss and filtered light.,images/p030.jpg
p031,nature,Aurora over a frozen lake with silhouetted pines.,images/p031.jpg
p032,food,Stack of blueberry pancakes topped with maple drizzle.,images/p032.jpg
p033,food,Iced matcha latte next to a flaky almond croissant.,images/p033.jpg
p034,food,Fresh salsa with avocado lime and crunchy tortilla chips.,images/p034.jpg
p035,food,Crispy roasted potatoes with rosemary and garlic.,images/p035.jpg
p036,food,Caprese salad with heirloom tomatoes and basil oil.,images/p036.jpg
p037,tech,Benchmark results comparing mobile GPUs for on-device AI.,images/p037.jpg
p038,tech,Notes on deploying a lightweight model with ONNX Runtime.,images/p038.jpg
p039,tech,Exploring vector search performance on CPU vs GPU.,images/p039.jpg
p040,tech,Cable management and setup for a dual-monitor dev desk.,images/p040.jpg
p041,tech,Hands-on notes from a tiny single-board computer project.,images/p041.jpg
p042,art,Spray paint mural wrapping a subway tunnel.,images/p042.jpg
p043,art,Collage of paper textures and pastel gradients.,images/p043.jpg
p044,art,Minimalist line art portrait on cream background.,images/p044.jpg
p045,art,Abstract acrylic swirl with vivid magenta and cyan.,images/p045.jpg
p046,art,Neon geometric street art splashed across a brick alley.,images/p046.jpg
p047,art,Monochrome sketchbook study of faces in charcoal.,images/p047.jpg
p048,art,Ink illustration of a city skyline at dusk.,images/p048.jpg


